formula,Temperature,ThermalCond W/m.K
BeS,298,157.0
CdS,298,19.9
GaN,298,181.0
ZnO,298,64.5
ZnSe,298,15.6
BAs,298,2940.0
ZnO,298,64.5
BeO,298,447.0
GaAs,298,32.1
SiC,298,372.0
ZnS,298,36.5
GaP,298,104.0
BeO,298,447.0
InAs,298,25.2
CuBr,298,2.75
InP,298,85.2
ZnTe,298,18.9
CuI,298,7.1
CuI,298,7.1
GaSb,298,32.5
MgTe,298,14.7
CuCl,298,1.26
AlSb,298,77.4
GaN,298,181.0
AgI,298,2.44
AlN,298,235.0
AlP,298,84.0
InSb,298,13.8
BeTe,298,90.4
CdTe,298,6.67
CdSe,298,11.4
CuCl,298,1.26
CdS,298,19.9
BP,298,420.0
SiC,298,372.0
BeSe,298,108.0
AlN,298,235.0
CuH,298,14.4
CuBr,298,2.75
InN,298,105.0
AgI,298,2.44
AlAs,298,86.8
Ti0.99Nb0.01NiSn,400,5.8617
Cu1.98Se,1000,1.015
Bi2Te3,300,4.016716418
Cr1.3Mo6S8,700,2.6905
Bi1.2S1.2Ti2S4,300,2.94
Ba0.4Sr0.6PbO3,300,2.2948
SrTi0.8Nb0.2O3,400,8.62
Mg2Si0.997Bi0.003,300,6.16
Zn4Sb3,400,0.75
Tl0.01Pb0.99Te,400,1.55169
KBi6.33S10,300,1.3
Pb1.8S1.8Ti2S4,400,2.51
La2.74Te4,700,1.0
In0.2Co4Sb12,300,2.4757700000000000
Ba7SrAl16Si30,700,2.46
CuCr0.96Mg0.04O2,1000,6.8542
Tl2GeTe5,300,9.07
Zn0.9975Al0.0025O,1000,1.9089
Mo3Te4,300,3.81187
SrDy0.08Ti0.92O3,300,4.195
Ca0.9Ho0.1MnO3,700,1.518351106
Zn0.98Al0.02O,400,27.2
Ni2.0Mo6S8,700,4.2372
In1.994Ge0.006O3,300,9.71545
Sr3Ti1.6Nb0.4O7,1000,2.14
La3Te3.35Bi0.65,700,1.56
Zn0.9975Al0.0025O,700,2.283
Ca3AlSb3,1000,0.6920000000000000
La2.99Te4,700,2.84
WO2.9,300,3.0834
SrNd0.2Ti0.8O3,300,5.53
La3Te3.8Sb0.2,400,2.58
Mg2Si0.993Bi0.007,400,5.68
Sr0.61Ba0.39Nb2O6,400,2.0205
TiNiSn,300,6.0761
In1.8Ge0.2O3,400,2.61135
Fe1.96Ti0.04O3,300,7.82
Mg2Si0.999Bi0.001,700,3.66
Ti0.99Nb0.01NiSn,300,6.8928
Ni2.0Mo6S8,1000,5.9752
In1.998Ge0.002O3,400,6.85319
Zr0.5Hf0.5NiSn1.994Sb0.006,700,2.9636601040000000
CeFe3CoSb12,300,1.91
Ca0.96Bi0.04Mn0.96Nb0.04O3,400,2.16005
Mg2Si0.994Bi0.006,300,6.55
Zn0.98Al0.02O,1000,7.92
CuRh0.9Mg0.1O2,400,9.76717
SrNb0.15Ti0.85O3,700,3.49
Li0.0066Ni0.9944O,400,8.32761
Ca5Al2Sb6,400,1.23
BaPbO3,400,4.15607
CaGd0.94Mn0.06O3,700,2.1394
Pb1.8S1.8Ti2S4,700,1.95
Ba8Au5.14Si39.51,700,2.45
Sr3Ti1.6Nb0.4O7,400,3.89
Ca2.97Na0.03AlSb3,1000,0.67
Ca3AlSb3,700,0.745
Mg2Si0.6Ge0.4Ag0.02,400,3.09
LaFe3CoSb12,400,1.6
Mg2Si0.98Bi0.02,1000,2.75
Mg2Si,400,4.0
Sr0.9La0.1TiO3,400,5.28
Ba7SrAl16Si30,400,2.33
Ca0.9Bi0.1MnO3,400,3.1467
WO2.722,300,8.177
SrTi0.8Nb0.2O3,700,6.14
NaCo2O4,1000,4.7639
Tl9BiTe6,300,0.48100000000000000
Sr0.9Y0.1TiO3,400,6.0
Mo6Te6S2,700,2.93114
Si0.8Ge0.2,400,2.51953
ZrNi1.98Cu0.02Sn,400,6.795
Ca4.95Na0.05Al2Sb6,700,0.833
Si0.7956Ge0.1989P0.0055,700,3.7233700000000000
Cr1.3Mo6S8,1000,3.1915
Tl2SnTe5,300,5.09
NaCo2O4,300,1.9040000000000000
TiNiSn,700,5.51
Ba8Ga16Ge30,700,1.3
Tl2SnTe5,300,6.75
In0.1Co4Sb12,300,2.18825
CaMnO3,300,3.56184
In1.94Ge0.06O3,300,8.86791
Zr0.95Nb0.05NiSn,700,6.6684
CuCr0.95Mg0.05O2,1000,6.9878
Ba0.8Sr0.2PbO3,700,4.0289
Mg2Si0.997Bi0.003,700,3.53
Ca0.9Tb0.1MnO3,400,1.5871
Pb0.97Sr0.02TeNa0.01,400,2.23
NbCo1.10Sn,1000,6.7725800000000000
Mo6Te7S,300,2.7730100000000000
CuCr0.98Mg0.02O2,300,7.5581
Ca3Co4O9,1000,2.8370000000000000
Cu4.0Mo6S8,300,1.3479
CaMn0.96Ru0.04O3,700,3.2397300000000000
CaMnO3,400,3.06714
Ca0.9Tb0.1MnO3,700,1.75635
Zn4Sb3,400,0.6638
Ca2.97Na0.03AlSb3,300,1.67
CuCr0.98Mg0.02O2,400,6.7086
Ca0.7Tb0.3MnO3,700,1.462482104
Zn0.95Al0.05O,400,20.25
Ba0.4Sr0.6PbO3,700,1.9826600000000000
Fe1.3Mo6S8,300,1.4885
Ca5Al2Sb6,300,1.54
La3Te3.35Bi0.65,400,1.83
In1.9Ge0.1O3,1000,2.51443
K2Bi8Se13,300,1.2851700000000000
Ba8Au5.59Si39.01,700,2.41
Ba8Au6.10Si38.97,400,2.33
Mg2Si,400,6.15
La3Te3.35Sb0.65,700,1.17
NbCo1.05Sn,700,7.2322
WO2.722,1000,6.2948
CaGd0.94Mn0.06O3,1000,1.9451200000000000
Ca0.9Bi0.1MnO3,300,3.5909
SrNd0.24Ti0.76O3,700,3.76
Sr0.9La0.1TiO3,300,5.88
Mn1.3Mo6S8,400,1.6274
In1.998Ge0.002O3,700,3.92271
Ca0.7Y0.3MnO3,400,1.46749541
CaMnO3,700,2.0467300000000000
Ca0.7Ho0.3MnO3,700,1.416678012
Ca0.9Ho0.1MnO3,300,1.637290898
SrDy0.08Ti0.92O3,700,3.17
Ca2.4Na0.3Bi0.3Co4O9,1000,1.75
Ba8Au6.10Si38.97,300,2.18
ZrNi1.98Cu0.02Sn,300,7.98
Ca0.7Ho0.3MnO3,1000,1.599402623
Ti0.95Nb0.05NiSn,400,6.3783
Zr0.99Nb0.01NiSn,700,6.0517
Fe1.94Ti0.06O3,700,4.34
Na0.02Pb0.98Te,400,2.675
Ca0.9Yb0.1MnO3,400,1.6387100000000000
AgCrSe2,300,0.956
Sr0.145Ga0.302Ge0.553,300,0.81
CeFe4Sb12,300,1.55
Bi2Sr2Co2O8,400,2.1246
In1.994Ge0.006O3,400,7.206920000000000
Zn0.95Al0.05O,1000,6.23
Ba8Ga16Ge30,400,1.79
Na0.02Pb0.98Te0.75Se0.25,700,1.29643
NbCo1.05Sn,1000,7.6719
Sn1.2S1.2Ti2S4,300,2.66
In1.985Ge0.015O3,400,7.04775
Zr0.15Hf0.15Ti0.7NiSn,400,3.072
Ca0.7Y0.3MnO3,1000,1.5369205960000000
SrNb0.15Ti0.85O3,400,4.696000000000000
SrTi0.8Nb0.2O3,1000,2.555
Mg2Si0.9985Bi0.0015,300,7.08
CaGd0.96Mn0.04O3,300,1.78652
SrTi0.8Nb0.2O3,400,8.57
Mg2Si0.6Ge0.4Ag0.02,700,2.57
Ba0.3Sr0.6La0.1TiO3,700,1.91
CaMnO3,700,3.3114
CaYb0.1Mn0.9O3,700,1.61396
CaYb0.05Mn0.95O3,300,1.4902800000000000
La0.98Sr0.02CoO3,300,1.8
Ba8Ga16Ge30,300,1.94
Fe0.998Co0.002Si2,1000,5.02
CuCr0.95Mg0.05O2,300,9.5221
Nd2CuO4,1000,3.94
Mg1.95Ca0.05Si,700,3.8
TiNiSn,400,6.72
ZrNi0.76Co0.004Cu0.2Sn,300,6.02
Fe1.96Ti0.04O3,1000,3.54
In1.985Ge0.015O3,700,4.61902
Sr0.9La0.1TiO3,1000,3.15
Zr0.15Hf0.15Ti0.7NiSn,700,3.157
CaGd0.94Mn0.06O3,400,2.5699
Ti0.95Nb0.05NiSn,700,5.2517
CaGd0.96Mn0.04O3,1000,1.28033
Ca3Co4O9,700,1.8
Ca3AlSb3,400,1.1
Fe1.3Mo6S8,1000,3.4165
CeFe3CoSb12,700,2.07
Sr0.9La0.1TiO3,700,3.83
Ca0.9Tb0.1MnO3,1000,1.6040432520000000
Fe1.94Ti0.06O3,400,5.93
La3Te3.35Bi0.65,300,1.9670000000000000
Sn1.2S1.2Ti2S4,400,2.03
Zn4Sb3,300,0.7830000000000000
Pb0.94Sr0.04TeNa0.02,400,2.13
Ca0.9Nd0.1MnO3,400,2.4130700000000000
Ca2.97Na0.03AlSb3,700,0.84
Si0.8Ge0.2,1000,2.5546900000000000
CaYb0.15Mn0.85O3,1000,1.69435
Ca2.4Na0.3Bi0.3Co4O9,700,1.8
Ti0.98Nb0.02NiSn,700,5.085
CaMnO3,400,3.3060700000000000
Zn0.98Al0.02O,700,12.4
Ca0.9Ho0.1MnO3,700,2.18525
Ca2Co2O5,300,2.3
Zr0.95Nb0.05NiSn,1000,6.2417
Ca2.94Na0.06AlSb3,300,1.65
Nd2CuO4,400,13.7
Sr2Ti0.8Nb0.2O4,300,4.37
CaYb0.1Mn0.9O3,400,1.6386900000000000
Zn4Sb3,300,0.77
CeFe3.5Co0.5Sb13,400,2.38
Li0.0242Ni0.9758O,1000,2.5497900000000000
NbCo1.05Sn,300,6.8867200000000000
Cu1.98Se,400,1.73
Ca2.7Bi0.3Co4O9,300,2.0
Zr0.35Hf0.35Ti0.3NiSn,400,2.8370000000000000
Sm0.5Ca0.5MnO3,300,1.9
La0.99Sr0.01CoO3,300,1.807
WO2.722,700,6.8797
In2O3,300,9.6695
Yb14MnSb11,700,0.816
Ca0.9Nd0.1MnO3,1000,2.38232
Ag9TlTe5,700,0.2
Na0.02Pb0.98Te0.85Se0.15,700,1.26786
CaYb0.15Mn0.85O3,300,1.64488
CuCr0.97Mg0.03O2,400,6.4607
In1.8Ge0.2O3,300,3.23848
Mo6Te6S2,300,2.1249600000000000
Ba8Ga16Ge30,300,1.7
In0.2Co4Sb12,700,1.93658
Ca0.7Y0.3MnO3,300,1.793253904
CuCr0.98Mg0.02O2,700,5.8378
Zn0.995Al0.005O,1000,8.25
Ba8Ga18Ge28,700,1.1
Sr0.61Ba0.39Nb2O6,400,2.0205
Li0.0066Ni0.9944O,700,6.0105
Ca0.9Bi0.1MnO3,700,2.2145
Sb2Te3,300,5.205245902
Ca0.98Bi0.02Mn0.98Nb0.02O3,300,2.51281
Ba8Ga16Ge30,400,1.42
Zr0.99Nb0.01NiSn,1000,6.0617
Ti0.98Nb0.02NiSn,300,7.4261
La3Te3.35Bi0.65,1000,1.37
Sr0.9Y0.1TiO3,1000,4.5
In2O3,700,3.86562
Ni2.0Mo6S8,400,2.3304
In0.2Co4Sb12,300,2.5704700000000000
ZrNiSn,400,8.395
Bi2Te3,300,1.468195804
Fe1.3Mo6S8,700,2.775
CaYb0.05Mn0.95O3,1000,1.61396
In1.998Ge0.002O3,300,9.1565
CeFe3CoSb12,400,1.98
ZrNiSn,700,5.9849
Ca0.9Ho0.1MnO3,400,2.06759
Cu1.98Se,300,1.25
Mg1.9Ca0.1Si,300,5.2
Na0.02Pb0.98Te0.85Se0.15,400,2.21786
Zr0.35Hf0.35Ti0.3NiSn,700,2.9420000000000000
Nd2Cu0.98Zn0.02O4,1000,3.63
Ca2.4Na0.3Bi0.3Co4O9,400,1.9
Tl9BiTe6,400,0.409
Ba8Ga18Ge28,1000,1.0
Yb14MnSb11,1000,0.715
CuCr0.99Mg0.01O2,1000,4.9475
Li0.0066Ni0.9944O,1000,5.30518
In2O3,400,6.773290000000000
CaMn0.98Nb0.02O3,1000,1.38075
CaMnO3,400,2.9729900000000000
In1.94Ge0.06O3,400,6.6037
Ca2.7Na0.3Co4O9,700,2.0
Na0.02Pb0.98Te0.75Se0.25,400,2.15357
Mo3Te4,400,3.91172
Mo6Te6S2,1000,3.45435
ZnO,400,33.22
La2.99Te4,1000,2.87
Pb0.98TeNa0.02,300,4.29
CuCrO2,400,6.1557
Sr4.5Nb4.5O15.5,300,2.45
Zn0.95Al0.05O,700,14.3
Bi2Sr2Co2O8,700,2.0678
NbCoSn,300,6.904440000000000
Ca0.7Y0.3MnO3,700,1.514920146
Ba8Au5.59Si39.01,400,1.62
Zr0.5Hf0.5NiSn,300,4.087
Ag9TlTe5,300,0.2
Nd2Cu0.98Ni0.02O4,300,9.811
In0.05Co4Sb12,400,1.7376200000000000
CaMnO3,1000,2.06537
Zn4Sb3,700,0.6933
Sb0.005I0.015Cs0.995Bi3.98Te5.97,300,1.5
LaFe3CoSb12,300,1.6
Sr2Ti0.8Nb0.2O4,700,2.48
In0.25Co4Sb12,700,2.13453
Ca2.94Na0.06AlSb3,400,1.27
Ca0.98Bi0.02Mn0.98Nb0.02O3,700,1.87848
Zr0.15Hf0.15Ti0.7NiSn,300,3.3940000000000000
NaCo2O4,700,5.7025
Li0.0242Ni0.9758O,700,3.49599
Zr0.94Y0.06NiSn0.96Sb0.04,300,8.35
La3Te3.35Sb0.65,1000,0.987
Li0.0024Ni0.9976O,1000,8.44401
Mg2Si,300,4.5
Ba8Au5.14Si39.51,300,1.86
La2.99Te4,400,2.605
Mo3Te4,700,4.451970000000000
ZnO,1000,8.58
Ca0.9Tb0.1MnO3,700,1.574660559
Bi1.2S1.2Ti2S4,700,2.11
Nd2CuO4,300,29.6
CuRh0.9Mg0.1O2,1000,8.391860000000000
ZrNi0.76Co0.004Cu0.2Sn,400,5.3
In0.25Co4Sb12,300,2.5585300000000000
Ba8Ga16Ge30,400,1.63
SrNb0.15Ti0.85O3,300,5.88
Zr0.94Y0.06NiSn0.96Sb0.04,400,6.51
Zn0.99Al0.01O,300,44.495
La0.8Sr0.2CoO3,300,3.69579
SrNd0.17Ti0.83O3,1000,3.397
CuCr0.95Mg0.05O2,700,8.0871
SrNd0.2Ti0.8O3,1000,3.1968
CaMnO3,700,2.15813
Ba8Ga16Ge30,1000,2.0
Na0.02Pb0.98Te0.85Se0.15,300,3.0142900000000000
Mg2Si0.9985Bi0.0015,400,5.07
SrNd0.17Ti0.83O3,400,5.35
SrTi0.8Nb0.2O3,1000,3.14
Zr0.98Nb0.02NiSn,700,6.4517
Ca2.85Na0.15AlSb3,1000,0.68
Nd2Cu0.98Ni0.02O4,400,8.03
Ca2.85Na0.15AlSb3,300,1.59
Mg2Si,300,7.25
Tl0.02Pb0.98Te,300,2.16832
Ba0.6Sr0.4PbO3,400,2.36416
Fe0.998Co0.002Si2,300,5.69
Ca0.9Nd0.1MnO3,700,2.41558
SrTi0.8Nb0.2O3,300,7.96
Sr2Ti0.8Nb0.2O4,400,3.59
Ag0.15Sb0.15Te1.15Ge0.85,700,1.65073
Nd2Cu0.98Ni0.02O4,1000,3.9020000000000000
CaMnO3,1000,2.09242
In1.94Ge0.06O3,1000,3.06296
Zn0.95Al0.05O,300,34.5
Zn0.995Al0.005O,300,44.495
Zn0.995Al0.005O,400,30.21
Ca0.9Ho0.1MnO3,1000,2.23936
Ca4.75Na0.25Al2Sb6,700,0.82
Mg2Si0.6Ge0.4Ag0.02,1000,3.48
Sr0.61Ba0.39Nb2O6,300,1.6670000000000000
Ba8Ga16Ge30,1000,1.6
Zr0.4Hf0.4Ti0.2NiSn,700,3.196
Zr0.25Hf0.25Ti0.5NiSn,400,3.003
Si0.79936Ge0.19984B0.0008,400,4.14497
Ni2.0Mo6S8,300,1.7135
CaYb0.1Mn0.9O3,300,1.72527
Ca2.7Bi0.3Co4O9,1000,2.05
Cu4.0Mo6S8,1000,2.0386
Fe0.978Co0.00196Si1.96Y0.12O0.18,300,2.86
Ca2.7Na0.3Co4O9,1000,2.05
Ca3Co4O9,700,3.15
Fe0.978Co0.00196Si1.96Y0.04O0.06,1000,4.21
CeFe3.5Co0.5Sb12,300,2.4
Ca3Co4O9,300,3.51
Sr0.61Ba0.39Nb2O6,700,2.1717
Na0.02Pb0.98Te0.75Se0.25,1000,1.1964300000000000
CeFe4Sb12,700,1.703
CaMnO3,1000,1.6787400000000000
Tl2Cu2SnTe4,300,0.377
Zn4Sb3,700,0.75
In1.985Ge0.015O3,300,9.41949
Ca0.7Tb0.3MnO3,400,1.465854004
CaMn0.98Nb0.02O3,300,2.5
Zr0.5Hf0.5NiSn,400,3.53
SrNb0.15Ti0.85O3,1000,3.0780000000000000
Fe1.96Ti0.04O3,700,4.7
Yb14MnSb11,400,0.8440000000000000
Mg2Si0.995Bi0.005,300,6.55
Si0.8Ge0.2,700,2.56641
La3Te3.35Sb0.65,400,1.36
Zr0.25Hf0.25Ti0.5NiSn,700,3.2540000000000000
Na0.02Pb0.98Te,300,3.99643
CaYb0.05Mn0.95O3,700,1.60159
In1.994Ge0.006O3,1000,3.48967
Sr3Ti1.6Nb0.4O7,300,4.96
Zn0.995Al0.005O,700,13.525
