formula,Temperature,ThermalCond W/m.K
Al,300.0,237.0
Al,1.0,4110.0
Al,2.0,8180.0
Al,3.0,12100.0
Al,4.0,15700.0
Al,5.0,18800.0
Al,6.0,21300.0
Al,7.0,22900.0
Al,8.0,23700.0
Al,9.0,23900.0
Al,10.0,23500.0
Al,15.0,17600.0
Al,20.0,11700.0
Al,30.0,4950.0
Al,40.0,2400.0
Al,50.0,1350.0
Al,60.0,850.0
Al,70.0,585.0
Al,80.0,432.0
Al,90.0,342.0
Al,100.0,302.0
Al,150.0,248.0
Al,200.0,237.0
Al,250.0,235.0
Al,300.0,237.0
Al,350.0,240.0
Al,400.0,240.0
Al,500.0,236.0
Al,600.0,231.0
Al,800.0,218.0
Al,300.0,294.0
Al,298.0,295.0
Al,20.0,8000.0
Al,20.0,6250.0
V,300.0,30.7
V,298.0,35.0
V,9.0,930.0
V,7.1,850.0
Rh,300.0,150.0
Rh,310.0,148.5
Rh,514.1,132.0
Rh,500.0,133.0
Rh,1950.0,95.5
Rh,2236.0,91.0
Ru,300.0,117.0
Ru,82.6,170.0
Ru,277.4,110.0
Ru,510.1,103.0
Ru,476.1,103.0
Ru,280.1,109.0
Ru,82.9,162.0
Ru,404.1,130.5
Ru,82.6,209.0
Ru,297.6,132.0
W,300.0,174.0
W,1.0,1440.0
W,2.0,2870.0
W,3.0,4280.0
W,4.0,5630.0
W,5.0,6870.0
W,6.0,7950.0
W,7.0,8800.0
W,8.0,9380.0
W,9.0,9680.0
W,10.0,9710.0
W,15.0,7200.0
W,20.0,4050.0
W,30.0,1440.0
W,40.0,692.0
W,50.0,427.0
W,60.0,314.0
W,70.0,258.0
W,80.0,229.0
W,90.0,217.0
W,100.0,208.0
W,150.0,192.0
W,200.0,185.0
W,250.0,180.0
W,300.0,174.0
W,350.0,167.0
W,400.0,159.0
W,500.0,146.0
W,600.0,137.0
W,800.0,125.0
W,1000.0,118.0
W,1200.0,112.0
W,1400.0,108.0
W,1600.0,104.0
W,1800.0,101.0
W,2000.0,98.0
W,298.0,130.0
W,4.0,75000.0
Hf,300.0,23.0
Hf,300.0,22.8
Ba8Ge43,298.0,3.22
Ba8Ge43,473.0,2.39
Ba8Ge43,323.0,2.03
Ni,300.0,90.7
Ni,1.0,217.0
Ni,2.0,434.0
Ni,3.0,649.0
Ni,4.0,859.0
Ni,5.0,1060.0
Ni,6.0,1250.0
Ni,7.0,1420.0
Ni,8.0,1580.0
Ni,9.0,1710.0
Ni,10.0,1810.0
Ni,15.0,1950.0
Ni,20.0,1650.0
Ni,30.0,956.0
Ni,40.0,582.0
Ni,50.0,400.0
Ni,60.0,308.0
Ni,70.0,250.0
Ni,80.0,210.0
Ni,90.0,183.0
Ni,100.0,164.0
Ni,150.0,122.0
Ni,200.0,107.0
Ni,250.0,97.5
Ni,300.0,90.7
Ni,350.0,85.0
Ni,400.0,80.2
Ni,500.0,72.2
Ni,600.0,65.6
Ni,800.0,67.6
Ni,1000.0,71.8
Ni,1200.0,76.2
Ni,1400.0,80.4
AgGaSe2,298.0,4.8
AgGaSe2,298.0,9.0
AgGaSe2,373.0,0.94
Dy3Te4,298.0,2.2
Ca1.25Ti0.25Nb0.5O3,298.0,4.5
Fe,300.0,80.2
Fe,1.0,171.0
Fe,2.0,342.0
Fe,3.0,511.0
Fe,4.0,677.0
Fe,5.0,839.0
Fe,6.0,993.0
Fe,7.0,1140.0
Fe,8.0,1270.0
Fe,9.0,1390.0
Fe,10.0,1480.0
Fe,15.0,1700.0
Fe,20.0,1540.0
Fe,30.0,1000.0
Fe,40.0,623.0
Fe,50.0,405.0
Fe,60.0,285.0
Fe,70.0,216.0
Fe,80.0,175.0
Fe,90.0,150.0
Fe,100.0,134.0
Fe,150.0,104.0
Fe,200.0,94.0
Fe,250.0,86.5
Fe,300.0,80.2
Fe,350.0,74.4
Fe,400.0,69.5
Fe,500.0,61.3
Fe,600.0,54.7
Fe,800.0,43.3
Fe,1000.0,32.3
Fe,1200.0,28.3
Fe,1400.0,31.2
Fe,1600.0,33.0
Fe,1800.0,34.5
Fe,1.4,11.0
Fe,0.5,3.0
Zn,300.0,116.0
Zr,300.0,22.7
Zr,298.0,19.7
Zr,323.0,17.5
Zr,473.0,17.5
Pt,300.0,71.6
Pt,1.0,231.0
Pt,2.0,460.0
Pt,3.0,679.0
Pt,4.0,880.0
Pt,5.0,1050.0
Pt,6.0,1180.0
Pt,7.0,1260.0
Pt,8.0,1290.0
Pt,9.0,1280.0
Pt,10.0,1230.0
Pt,15.0,841.0
Pt,20.0,495.0
Pt,30.0,215.0
Pt,40.0,139.0
Pt,50.0,109.0
Pt,60.0,94.7
Pt,70.0,86.2
Pt,80.0,81.5
Pt,90.0,78.9
Pt,100.0,77.5
Pt,150.0,74.0
Pt,200.0,72.6
Pt,250.0,71.8
Pt,300.0,71.6
Pt,350.0,71.7
Pt,400.0,71.8
Pt,500.0,72.3
Pt,600.0,73.2
Pt,800.0,75.6
Pt,1000.0,78.7
Pt,1200.0,82.6
Pt,1400.0,87.1
Pt,1600.0,91.9
Pt,1800.0,96.1
Pt,2000.0,99.4
Pt,300.0,77.8
Pt,1000.0,92.0
Pt,293.7,73.5
Pt,80.1,78.2
Pt,500.0,73.0
Tl,300.0,46.1
Nb,300.0,53.7
Nb,298.0,53.0
Nb,0.04,0.002
Nb,0.04,0.0024
Nb,4.0,7.0
Nb,2.5,70.0
Nb,2.0,11.0
Nd,298.0,16.5
Nd,300.0,16.5
Nd,291.0,16.5
Nd,291.0,5.5
Nd,2.0,2.3
Nd,10.0,5.5
Nd,47.0,12.0
Mo,300.0,138.0
Sb,300.0,24.3
Sb,4.4,690.0
Sb,2.0,730.0
Sb,1.4,690.0
Sb,1.2,1030.0
Sb,1.7,1450.0
Sb,4.2,900.0
Ga,300.0,40.6
In,300.0,81.6
In,1.5,15.0
In,9.1,625.0
In,298.0,4010.0
La,298.0,13.4
La,300.0,13.4
La,291.0,14.0
La,291.0,2.3
Ag,300.0,429.0
Ag,1.0,3940.0
Ag,2.0,7830.0
Ag,3.0,11500.0
Ag,4.0,14700.0
Ag,5.0,17200.0
Ag,6.0,18700.0
Ag,7.0,19300.0
Ag,8.0,19000.0
Ag,9.0,18100.0
Ag,10.0,16800.0
Ag,15.0,9600.0
Ag,20.0,5100.0
Ag,30.0,1930.0
Ag,40.0,1050.0
Ag,50.0,700.0
Ag,60.0,550.0
Ag,70.0,497.0
Ag,80.0,471.0
Ag,90.0,460.0
Ag,100.0,450.0
Ag,150.0,432.0
Ag,200.0,430.0
Ag,250.0,429.0
Ag,300.0,429.0
Ag,350.0,427.0
Ag,400.0,425.0
Ag,500.0,419.0
Ag,600.0,412.0
Ag,800.0,396.0
Ag,1000.0,379.0
Ag,1200.0,361.0
Ag,2.8,80.0
Ag,2.4,60.0
Er,298.0,14.5
Er,300.0,14.5
Er,291.0,13.8
Er,291.0,4.8
Gd,300.0,10.5
Gd,300.0,9.7
Gd,291.0,9.1
Gd,291.0,3.8
Gd,300.0,15.0
Gd,110.0,14.3
Ni3Al,300.0,28.85
Ni3Al,500.0,35.13
Ni3Al,800.0,37.27
Ni3Al,1000.0,36.12
Ni3Al,300.0,21.37
Ni3Al,500.0,26.35
Ni3Al,800.0,31.82
Ni3Al,1000.0,32.7
Ni3Al,300.0,26.6
Ni3Al,300.0,31.3
Ni3Al,300.0,30.85
Ni3Al,300.0,31.3
Ni3Al,300.0,30.96
Ni3Al,300.0,27.93
Ni3Al,300.0,27.9
Re,300.0,47.9
Re,83.0,62.0
Re,293.0,48.0
Re,523.0,44.8
RuAl2,373.0,10.0
RuAl2,310.0,17.7
RuAl2,973.0,7.9
Sc,298.0,15.8
Sc,300.0,15.8
Sc,291.0,15.7
Sc,291.0,2.0
Ge,300.0,64.0
Ge,1.0,27.4
Ge,2.0,206.0
Ge,3.0,535.0
Ge,4.0,877.0
Ge,5.0,1160.0
Ge,6.0,1390.0
Ge,7.0,1550.0
Ge,8.0,1660.0
Ge,9.0,1730.0
Ge,10.0,1770.0
Ge,15.0,1730.0
Ge,20.0,1490.0
Ge,30.0,1080.0
Ge,40.0,798.0
Ge,50.0,615.0
Ge,60.0,487.0
Ge,70.0,393.0
Ge,80.0,325.0
Ge,90.0,270.0
Ge,100.0,232.0
Ge,150.0,132.0
Ge,200.0,96.8
Ge,250.0,74.9
Ge,300.0,59.9
Ge,350.0,49.5
Ge,400.0,43.2
Ge,500.0,33.8
Ge,600.0,27.3
Ge,800.0,19.8
Ge,1000.0,17.4
Ge,1200.0,17.4
Ge,90.0,130.0
Ge,200.0,58.0
Ge,300.0,0.4
Au,300.0,317.0
Au,1.0,546.0
Au,2.0,1090.0
Au,3.0,1610.0
Au,4.0,2090.0
Au,5.0,2520.0
Au,6.0,2850.0
Au,7.0,3090.0
Au,8.0,3230.0
Au,9.0,3270.0
Au,10.0,3240.0
Au,15.0,2460.0
Au,20.0,1580.0
Au,30.0,755.0
Au,40.0,515.0
Au,50.0,421.0
Au,60.0,374.0
Au,70.0,348.0
Au,80.0,332.0
Au,90.0,328.0
Au,100.0,327.0
Au,150.0,325.0
Au,200.0,323.0
Au,250.0,321.0
Au,300.0,317.0
Au,350.0,314.0
Au,400.0,311.0
Au,500.0,304.0
Au,600.0,298.0
Au,800.0,284.0
Au,1000.0,270.0
Au,1200.0,255.0
Ho,298.0,16.2
Ho,300.0,16.2
Ho,291.0,10.6
Ho,291.0,4.0
Tb,298.0,11.1
Tb,300.0,11.1
Tb,291.0,10.4
Tb,291.0,4.4
Tm,298.0,16.9
Tm,300.0,16.9
Tm,0.6,0.1
Tm,4.5,0.95
Tm,291.0,0.14
Tm,291.0,4.1
Ba,300.0,18.4
Cu,300.0,401.0
Cu,1.0,4220.0
Cu,2.0,8400.0
Cu,3.0,12500.0
Cu,4.0,16200.0
Cu,5.0,19500.0
Cu,6.0,22200.0
Cu,7.0,23900.0
Cu,8.0,24800.0
Cu,9.0,24900.0
Cu,10.0,24300.0
Cu,15.0,17100.0
Cu,20.0,10800.0
Cu,30.0,4450.0
Cu,40.0,2170.0
Cu,50.0,1250.0
Cu,60.0,829.0
Cu,70.0,647.0
Cu,80.0,557.0
Cu,90.0,508.0
Cu,100.0,482.0
Cu,150.0,429.0
Cu,200.0,413.0
Cu,250.0,406.0
Cu,300.0,401.0
Cu,350.0,396.0
Cu,400.0,393.0
Cu,500.0,386.0
Cu,600.0,379.0
Cu,800.0,366.0
Cu,1000.0,352.0
Cu,1200.0,339.0
Cu,5.0,270000.0
Cu,35.0,4400.0
Cu,3.0,10900.0
Cu,3.0,6300.0
Cu,6.6,13200.0
Cu,6.4,19900.0
Li,300.0,84.7
Cr,300.0,93.7
Cr,1.0,40.2
Cr,2.0,80.3
Cr,3.0,120.0
Cr,4.0,160.0
Cr,5.0,200.0
Cr,6.0,239.0
Cr,7.0,227.0
Cr,8.0,314.0
Cr,9.0,350.0
Cr,10.0,385.0
Cr,15.0,524.0
Cr,20.0,593.0
Cr,30.0,549.0
Cr,40.0,425.0
Cr,50.0,317.0
Cr,60.0,248.0
Cr,70.0,207.0
Cr,80.0,184.0
Cr,90.0,169.0
Cr,100.0,159.0
Cr,150.0,129.0
Cr,200.0,111.0
Cr,250.0,100.0
Cr,300.0,93.7
Cr,350.0,92.9
Cr,400.0,90.9
Cr,500.0,86.0
Cr,600.0,80.7
Cr,800.0,71.3
Cr,1000.0,65.4
Cr,1200.0,61.9
Cr,1400.0,58.8
Cr,1600.0,55.6
Cr,1800.0,52.6
Cr,2000.0,49.4
CrB2,300.0,31.8
CrB2,1300.0,34.0
CrB2,2300.0,55.0
Be,300.0,200.0
Bi,300.0,7.87
Bi,100.0,20.0
Bi,0.0,500.0
Pr,298.0,12.5
Pr,300.0,12.5
Pr,291.0,12.0
Pr,291.0,1.2
B,298.0,0.18
B,298.0,0.2
B,1300.0,8.0
B,1300.0,59.0
B,3.0,8.1
B,50.0,328.0
B,300.0,26.0
B,300.0,27.6
B,80.0,310.0
B,1000.0,10.0
B,41.0,570.0
B,125.0,200.0
B,9.0,200.0
NdB6,100.0,37.0
NdB6,20.0,12.7
Ca,300.0,200.0
Sn,300.0,66.6
Sn,1.0,18300.0
Sn,2.0,32300.0
Sn,3.0,29700.0
Sn,4.0,18100.0
Sn,5.0,11700.0
Sn,6.0,7600.0
Sn,7.0,5200.0
Sn,8.0,3600.0
Sn,9.0,2600.0
Sn,10.0,1930.0
Sn,15.0,630.0
Sn,20.0,320.0
Sn,30.0,179.0
Sn,40.0,133.0
Sn,50.0,115.0
Sn,60.0,104.0
Sn,70.0,96.0
Sn,80.0,91.5
Sn,90.0,88.0
Sn,100.0,85.3
Sn,150.0,77.9
Sn,200.0,73.3
Sn,250.0,69.6
Sn,300.0,66.6
Sn,350.0,64.2
Sn,400.0,62.2
Sn,500.0,59.6
Sn,6.01,1170.0
Sn,5.61,938.0
Sn,5.71,798.0
Sn,7.74,560.0
Sn,7.35,437.0
Sn,7.28,424.0
Sn,5.0,4300.0
Sn,5.0,3500.0
Sn,5.0,3100.0
Ce,298.0,11.3
Co,300.0,100.0
Ce,300.0,11.3
Ce,291.0,11.2
Ce,291.0,1.6
Ta,300.0,57.5
Ta,298.0,54.0
Cr2O3,325.0,12.0
Cr2O3,294.0,16.0
Cu6La,10.0,4.6
Mg,300.0,156.0
Mg,1.0,986.0
Mg,2.0,1960.0
Mg,3.0,2900.0
Mg,4.0,3760.0
Mg,5.0,4500.0
Mg,6.0,5080.0
Mg,7.0,5470.0
Mg,8.0,5670.0
Mg,9.0,5700.0
Mg,10.0,5580.0
Mg,15.0,4110.0
Mg,20.0,2720.0
Mg,30.0,1290.0
Mg,40.0,719.0
Mg,50.0,465.0
Mg,60.0,327.0
Mg,70.0,249.0
Mg,80.0,202.0
Mg,90.0,178.0
Mg,100.0,169.0
Mg,150.0,161.0
Mg,200.0,159.0
Mg,250.0,157.0
Mg,300.0,156.0
Mg,350.0,155.0
Mg,400.0,153.0
Mg,500.0,151.0
Mg,600.0,149.0
Mg,800.0,146.0
Cu2O,102.0,3.74
Cu2O,163.0,7.76
Cu2O,299.0,5.58
Cu2O,360.0,4.86
Cu6Pr,12.0,2.9
Y,298.0,17.2
Y,300.0,17.2
Y,291.0,16.0
Y,291.0,2.5
Dy,298.0,10.7
Dy,300.0,10.7
Dy,291.0,10.4
Dy,291.0,3.6
Eu,298.0,13.9
Eu,300.0,13.9
Sn,3.7,1110.0
Sn,3.7,850.0
Sn,4.2,10000.0
Sn,4.2,5000.0
Sn,85.0,90.0
Sn,85.0,60.0
FeGa3,298.0,6.1
FeGa3,298.0,6.9
Fe3O4,4.5,27.4
Fe3O4,20.5,293.0
Fe3O4,126.5,7.4
Fe3O4,304.0,7.0
Fe3O4,298.0,2.8
Fe3O4,298.0,2.3
Fe3O4,298.0,6.0
Ti,300.0,21.9
Ti,1.0,1.44
Ti,2.0,2.88
Ti,3.0,4.32
Ti,4.0,5.75
Ti,5.0,7.19
Ti,6.0,8.63
Ti,7.0,10.1
Ti,8.0,11.5
Ti,9.0,12.9
Ti,10.0,14.3
Ti,15.0,21.2
Ti,20.0,27.5
Ti,30.0,36.5
Ti,40.0,39.0
Ti,50.0,37.4
Ti,60.0,35.5
Ti,70.0,34.0
Ti,80.0,32.6
Ti,90.0,31.5
Ti,100.0,30.5
Ti,150.0,27.0
Ti,200.0,24.5
Ti,250.0,22.9
Ti,300.0,21.9
Ti,350.0,21.0
Ti,400.0,20.4
Ti,500.0,19.7
Ti,600.0,19.4
Ti,800.0,19.7
Ti,1000.0,20.7
Ti,1200.0,22.0
Ti,1400.0,23.6
Ti,1600.0,25.3
Ti,1800.0,27.0
Ti,323.0,21.8
Ti,620.0,18.7
U,300.0,27.6
Se,300.0,4.52
Se,300.0,1.31
Mn,300.0,7.82
Ir,300.0,147.0
Ir,82.7,201.0
Ir,289.2,147.5
Ir,492.2,138.5
Ir,500.0,139.0
Na,300.0,141.0
Na,298.0,145.0
Pu,300.0,6.74
Pu,300.0,6.5
Sr,300.0,35.3
TiH2,323.0,19.7
TiH2,620.0,22.7
In4Se3,298.0,1.09
K,300.0,102.4
K,3.4,218.0
K,8.0,312.0
K,8.0,299.0
K,3.4,218.0
K,8.0,540.0
K,3.4,950.0
K,2.9,10.6
K,2.9,14.0
K,3.74,21.0
K,3.74,13.0
Te,300.0,3.38
Te,300.0,1.97
LaNi,30.0,27.0
Lu,298.0,16.4
Lu,300.0,16.4
Lu,291.0,16.2
Lu,291.0,4.1
MnTe2,298.0,1.6
Ti0.97Nb0.03,1.25,0.2
Pr3Ni,260.0,10.0
Yb,300.0,38.5
Sm,298.0,13.3
Sm,300.0,13.3
Sm,291.0,13.4
Sm,291.0,5.8
Ti0.89V0.11,773.0,25.8
Ti0.89V0.11,973.0,28.4
Ti0.89V0.11,10.0,0.25
Pb,300.0,35.3
Pb,1.0,2790.0
Pb,2.0,4460.0
Pb,3.0,3580.0
Pb,4.0,2220.0
Pb,5.0,1380.0
Pb,6.0,810.0
Pb,7.0,486.0
Pb,8.0,320.0
Pb,9.0,230.0
Pb,10.0,178.0
Pb,15.0,84.5
Pb,20.0,59.1
Pb,30.0,47.7
Pb,40.0,45.1
Pb,50.0,43.6
Pb,60.0,42.5
Pb,70.0,41.6
Pb,80.0,40.9
Pb,90.0,40.3
Pb,100.0,39.7
Pb,150.0,37.9
Pb,200.0,36.7
Pb,250.0,36.0
Pb,300.0,35.3
Pb,350.0,34.7
Pb,400.0,34.0
Pb,500.0,32.8
Pb,600.0,31.4
Pb,7.18,0.411
Pb,2.5,0.543
Pb,5.03,0.272
Pb,1.7,0.18
YAl2,280.0,23.0
YAl2,115.0,15.0
As,8.9,41.0
As,298.0,51.0
As,298.0,50.0
As,298.0,29.0
As,298.0,29.5
As,7.0,649.0
As,7.0,212.0
As,7.0,242.0
As,7.0,519.0
As,17.3,261.0
As,45.2,197.0
As,96.9,88.0
As,8.9,43.0
As,17.3,266.0
As,45.2,214.0
As,96.9,97.0
Be13Zr,922.0,40.0
Be13Zr,1366.0,36.3
Be13Zr,1700.0,33.7
Ca11Sb10,365.0,1.13
Ca11Sb10,1050.0,1.01
Cd,300.0,96.8
CeSi2,300.0,12.7
TaC,300.0,22.2
Cu0.5Ni0.5,1.0,0.09
Cu0.5Ni0.5,2.0,0.2
Zn126Fe13,298.0,3.5
Ga0.67Te,300.0,4.7
LaSi,298.0,6.71
Mg3Sb2,450.0,1.75
Mg3Sb2,298.0,1.7
Mg3Sb2,298.0,2.08
NiO,4.2,5.9
NiO,40.0,400.0
NiO,194.0,82.0
YNi2,300.0,9.2
YNi2,100.0,5.7
ZrN,300.0,21.8
ZrN,1260.0,32.3
Os,300.0,87.6
Os,336.7,0.0866
Os,517.5,85.4
Os,300.0,86.9
Os,500.0,0.0859
UO2,870.0,4.69
UO2,1000.0,4.0
UO2,2150.0,2.15
UO2,2750.0,3.2
UO2,3000.0,4.0
UO2,300.0,8.15
UO2,1673.0,2.3
UO2,295.0,8.4
UO2,1200.0,3.6
PbS,300.0,2.3
PbS,298.0,2.52
PbS,300.0,2.72
Yb11Sb10,315.0,1.32
Yb11Sb10,315.0,1.32
Yb11Sb10,973.0,2.91
SrSi2,298.0,5.25
SrSi2,298.0,6.0
SnTe,300.0,9.1
SnTe,298.0,21.0
SnTe,300.0,2.81
SnTe,500.0,2.03
SnTe,300.0,8.63
Zn2Zr,10.0,23.0
Zn6.67Sb5,300.0,1.28
Zn6.67Sb5,298.0,1.06
Zn6.67Sb5,673.0,0.64
Zn6.67Sb5,298.0,1.59
Zn6.67Sb5,298.0,1.25
Zn6.67Sb5,298.0,1.23
Zn6.67Sb5,298.0,0.86
Zn6.67Sb5,673.0,0.65
Zn6.67Sb5,300.0,1.01
Zn6.67Sb5,300.0,1.5
Zn6.67Sb5,300.0,1.25
Zn6.67Sb5,323.0,1.46
LaAl2,280.0,16.0
LaAl2,25.0,20.0
Cd3As2,310.0,6.0
Cd3As2,310.0,4.75
Cd3As2,115.0,2.28
Cd3As2,90.0,1.76
AuTe2,298.0,2.64
Bi2Se3,300.0,2.4
Bi2Se3,50.0,10.8
CrN,298.0,1.7
W2C,300.0,29.3
ZrH1.8,298.0,16.9
Pm,298.0,15.0
Pm,300.0,15.0
PbSe,298.0,2.8
PbSe,300.0,1.7
PbSe,298.0,2.52
PbSe,298.0,3.4
PbSe,298.0,1.91
PbSe,298.0,5.0
PbSe,305.0,2.0
Pd,300.0,71.8
Pd,313.8,75.4
Pd,501.7,75.8
Tl2Te,298.0,0.36
CeAl,11.8,1.8
CeAl,9.9,1.46
B13C2,,6.0
HfB2,300.0,51.0
HfB2,1300.0,60.0
HfB2,2300.0,143.0
NbB2,300.0,24.0
NbB2,1300.0,23.5
NbB2,2300.0,40.3
TlBr,4.0,165.0
TlBr,316.0,0.59
TaB2,300.0,16.0
TaB2,1300.0,16.1
TaB2,2300.0,36.3
VB2,300.0,42.2
VB2,1300.0,42.0
VB2,2300.0,67.5
Zn0.04Cd0.96,373.0,96.62
Zn0.04Cd0.96,533.0,85.28
HfC,323.0,20.0
NaCl,292.0,6.06
NaCl,4.2,440.0
NaCl,20.0,300.0
NaCl,77.0,30.0
NaCl,273.0,6.4
NaCl,323.0,5.6
NaCl,373.0,5.4
TlCl,4.0,170.0
TlCl,311.0,0.75
NbC,298.0,14.2
NbC,80.0,20.0
Pr3Co,250.0,12.0
Cs,300.0,35.9
UC,298.0,27.5
UC,300.0,23.9
UC,673.0,17.2
UC,973.0,17.6
FeS2,298.0,28.0
FeSe,298.0,7.1
FeSe,67.0,10.6
Ga0.67Se,300.0,5.0
Nb3Ge,18.0,4.1
Nb3Ge,6.0,1.0
GeTe,720.0,3.7
HgTe,300.0,2.0
NbH,350.0,38.0
NbH,302.0,63.0
NbH,300.0,63.0
NbH,360.0,38.0
NbH,60.0,31.0
[H2O],120.0,5.18
[H2O],190.0,3.2
[H2O],260.0,2.3
[H2O],273.0,2.14
[H2O],173.0,3.5
[H2O],223.0,2.8
[H2O],273.0,2.2
[H2O],10.0,70.0
[H2O],65.0,10.0
[H2O],100.0,6.5
[H2O],135.0,4.4
[H2O],135.0,3.25
Nd3In,165.0,15.4
Nd3In,5.09,0.73
Nd3In,5.09,0.355
Rb,300.0,58.2
In0.67Te,300.0,6.9
Th,300.0,54.0
Mg2Sn,300.0,9.2
Mg2Sn,320.0,5.91
MnO,4.2,0.25
MnO,40.0,55.0
MnO,120.0,8.0
MnO,573.0,3.5
Mn11Si19,298.0,3.0
MnSi,298.0,13.0
MnSi,298.0,12.0
Mo4O11,298.0,18.0
MoSi2,922.0,32.7
MoSi2,1478.0,14.4
Nb0.5W0.5,80.0,35.8
Nb0.5W0.5,100.0,37.2
Nb0.5W0.5,150.0,40.8
Nb0.5W0.5,200.0,41.9
Nb0.5W0.5,250.0,43.3
